"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"26804","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,0,0,"DESARROLLO DE SOFTWARE",1993
"26805","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,43,61,"DESARROLLO DE SOFTWARE",1993
"26806","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,36,36,"DESARROLLO DE SOFTWARE",1990
"26807","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,61,"DESARROLLO DE SOFTWARE",1989
"26808","ANALISIS Y DISE\O DE SISTEMAS 2",2,1,785,2016,2012,50,66,"DESARROLLO DE SOFTWARE",1992
"26809","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,63,"DESARROLLO DE SOFTWARE",1992
"26810","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,20,20,"DESARROLLO DE SOFTWARE",1989
"26811","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,51,66,"DESARROLLO DE SOFTWARE",1990
"26812","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,50,66,"DESARROLLO DE SOFTWARE",1990
"26813","ANALISIS Y DISE\O DE SISTEMAS 2",2,1,785,2016,2012,45,55,"DESARROLLO DE SOFTWARE",1990
"26814","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,45,"DESARROLLO DE SOFTWARE",1993
"26815","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,48,58,"DESARROLLO DE SOFTWARE",1992
"26816","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,58,"DESARROLLO DE SOFTWARE",1994
"26817","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,20,20,"DESARROLLO DE SOFTWARE",1990
"26818","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,0,0,"DESARROLLO DE SOFTWARE",1990
"26819","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,45,54,"DESARROLLO DE SOFTWARE",1994
"26820","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,21,21,"DESARROLLO DE SOFTWARE",1991
"26821","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,50,66,"DESARROLLO DE SOFTWARE",1993
"26822","ANALISIS Y DISE\O DE SISTEMAS 2",1,1,785,2016,2012,26,26,"DESARROLLO DE SOFTWARE",1992
