"","curso","nombre_curso","genero","periodo","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento","semestre","creditos","obligaroriedad"
"36188",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36189",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,0,0,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36190",964,"ORGANIZACION COMPUTACIONAL",1,6,2017,2015,39,64,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36191",964,"ORGANIZACION COMPUTACIONAL",2,6,2017,2015,46,71,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36192",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,0,0,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36193",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,37,50,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36194",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,0,0,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36195",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,22,22,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36196",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,46,65,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36197",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,28,28,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36198",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,40,61,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36199",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,38,57,"CIENCIAS DE LA COMPUTACION",1977,5,3,"Si"
"36200",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2015,55,80,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36201",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,53,66,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36202",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,38,57,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36203",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,36,49,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36204",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36205",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,46,71,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36206",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,27,27,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36207",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,56,81,"CIENCIAS DE LA COMPUTACION",1983,5,3,"Si"
"36208",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,0,0,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36209",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2012,47,53,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36210",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,35,35,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
