nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,1,1,14,2013,2009,0,0,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2009,40,40,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2013,2009,48,55,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2011,56,75,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,44,55,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,48,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,45,55,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2009,0,0,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2010,47,62,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,45,64,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2009,47,62,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2012,57,74,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2010,57,75,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2010,48,66,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2011,62,85,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2009,49,64,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,49,68,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,65,78,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2009,38,38,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2008,49,61,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2013,2012,41,61,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2013,2011,0,0,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2009,21,21,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2008,45,62,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,2,1,14,2013,2011,49,66,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2009,42,62,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2010,50,65,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,23,23,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2004,0,0,METODOLOGIA DE SISTEMAS,1983
ECONOMIA,1,1,14,2013,2010,0,0,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2004,0,0,METODOLOGIA DE SISTEMAS,1985
ECONOMIA,1,1,14,2013,2011,64,80,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2006,0,0,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,2,1,14,2013,2008,36,44,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,50,68,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,1,14,2013,2011,0,0,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2008,58,70,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,49,63,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,1,14,2013,2011,48,65,METODOLOGIA DE SISTEMAS,1991
